
41142256,0.072,0.857,-0.321,0.068,0.023,-0.010;
41166476,0.068,0.857,-0.325,0.063,0.018,-0.011;
41190552,0.064,0.857,-0.332,0.053,0.016,-0.013;
41214902,0.072,0.850,-0.307,0.066,0.028,-0.013;
41239137,0.068,0.854,-0.311,0.059,0.036,-0.011;
41263226,0.075,0.854,-0.318,0.053,0.027,-0.010;
41287406,0.068,0.854,-0.311,0.062,0.018,-0.012;
41311748,0.072,0.861,-0.321,0.061,0.025,-0.016;
41335973,0.068,0.861,-0.314,0.079,0.027,-0.006;
41356895,0.064,0.861,-0.318,0.080,0.022,-0.005;
41381112,0.072,0.850,-0.318,0.079,0.035,-0.012;
41405399,0.072,0.857,-0.314,0.086,0.025,-0.006;
41429620,0.068,0.850,-0.307,0.087,-0.008,-0.005;
41453776,0.068,0.857,-0.307,0.110,0.019,-0.005;
41478009,0.072,0.865,-0.300,0.138,0.038,-0.002;
41502083,0.064,0.850,-0.325,0.072,0.036,0.002;
41526419,0.068,0.857,-0.318,0.092,0.019,-0.001;
41550583,0.064,0.857,-0.332,0.114,0.030,0.001;
41574765,0.072,0.854,-0.321,0.137,0.006,0.007;
41598856,0.072,0.850,-0.321,0.147,-0.001,0.010;
41619994,0.068,0.846,-0.325,0.127,0.007,-0.004;
41644222,0.068,0.854,-0.332,0.120,0.025,0.002;
41668285,0.068,0.857,-0.328,0.121,0.023,0.002;
41692486,0.068,0.846,-0.328,0.080,0.007,0.007;
41716777,0.064,0.846,-0.335,0.052,-0.015,-0.001;
41741068,0.079,0.857,-0.335,0.067,0.010,-0.002;
41765117,0.072,0.846,-0.332,0.063,0.019,-0.002;
41789303,0.072,0.846,-0.332,0.063,0.000,0.007;
41813602,0.083,0.850,-0.339,0.063,0.001,0.001;
41837806,0.079,0.854,-0.339,0.067,0.023,-0.001;
41858701,0.072,0.854,-0.342,0.034,0.040,-0.004;
41882958,0.068,0.850,-0.339,-0.004,0.033,0.008;
41907051,0.064,0.857,-0.346,0.010,0.008,0.006;
41931387,0.068,0.861,-0.325,0.069,0.012,0.001;
41955546,0.068,0.854,-0.321,0.069,0.033,0.000;
41979736,0.064,0.842,-0.321,0.011,0.041,-0.005;
42003847,0.068,0.854,-0.332,0.004,0.022,-0.001;
42028167,0.068,0.850,-0.328,0.045,0.012,-0.005;
42052406,0.075,0.854,-0.332,0.033,0.015,-0.006;
42076495,0.064,0.861,-0.332,0.004,0.019,-0.004;
42100717,0.072,0.857,-0.325,0.010,0.008,-0.005;
42121854,0.072,0.854,-0.321,-0.012,0.012,-0.001;
42146108,0.072,0.857,-0.321,0.006,-0.004,-0.004;
42170152,0.064,0.854,-0.328,-0.007,0.017,-0.006;
42194357,0.075,0.850,-0.325,-0.042,0.028,-0.005;
42218509,0.079,0.850,-0.321,-0.051,0.022,-0.006;
42238717,0.072,0.865,-0.311,0.002,-0.004,0.001;
42263315,0.075,0.857,-0.304,0.050,0.001,-0.001;
42287565,0.075,0.850,-0.318,0.023,0.007,-0.005;
42311702,0.072,0.857,-0.321,-0.033,0.007,-0.006;
42336103,0.056,0.846,-0.304,-0.005,0.010,-0.007;
42357639,0.072,0.861,-0.307,0.008,0.006,0.000;
42381743,0.079,0.861,-0.290,0.028,-0.025,0.002;
42405952,0.068,0.854,-0.300,-0.021,0.017,-0.007;
42430428,0.072,0.869,-0.304,0.008,0.008,-0.002;
42454568,0.068,0.872,-0.300,0.074,-0.016,0.001;
42478651,0.053,0.865,-0.304,0.112,-0.019,0.002;
42502823,0.060,0.861,-0.311,0.049,-0.006,0.005;
42527011,0.075,0.854,-0.300,0.022,0.007,0.001;
42551293,0.075,0.854,-0.297,0.032,0.012,0.006;
42575420,0.072,0.869,-0.304,0.049,0.012,-0.005;
42599572,0.060,0.861,-0.297,0.041,0.011,0.002;
42620484,0.064,0.865,-0.307,0.041,0.018,0.006;
42644924,0.072,0.861,-0.300,0.023,0.012,0.004;
42669097,0.072,0.861,-0.297,0.002,0.008,-0.001;
42689222,0.072,0.857,-0.297,-0.015,0.047,-0.005;
42713481,0.060,0.869,-0.286,0.045,0.021,-0.002;
42737821,0.068,0.857,-0.300,0.038,0.011,0.000;
42762023,0.072,0.857,-0.297,0.032,-0.008,0.000;
42786058,0.064,0.865,-0.304,0.035,0.011,-0.001;
42806225,0.072,0.865,-0.304,0.053,0.022,0.006;
42830768,0.072,0.854,-0.293,0.092,0.017,-0.007;
42852162,0.075,0.869,-0.300,0.087,0.027,-0.005;
42876308,0.068,0.861,-0.293,0.086,0.029,0.000;
42900506,0.072,0.865,-0.300,0.084,0.046,0.000;
42924637,0.075,0.857,-0.304,0.079,0.067,-0.004;
42948938,0.075,0.861,-0.307,0.059,0.079,0.002;
42973075,0.075,0.861,-0.314,0.051,0.098,0.001;
42997298,0.072,0.865,-0.293,0.040,0.085,-0.013;
43021390,0.075,0.861,-0.290,0.032,0.061,-0.019;
43045723,0.060,0.876,-0.297,0.085,0.059,-0.025;
43069970,0.068,0.869,-0.293,0.076,0.062,-0.017;
43094198,0.075,0.854,-0.297,0.044,0.075,-0.017;
43115179,0.075,0.865,-0.293,0.070,0.069,-0.013;
43139315,0.075,0.869,-0.290,0.084,0.057,-0.016;
43163665,0.072,0.869,-0.290,0.092,0.046,-0.008;
43187820,0.075,0.865,-0.290,0.080,0.051,-0.010;
